index,entry_date,entry_price,quantity,target_price,current_price,unrealized_pnl,holding_days
HDFCBANK,2026-01-07,949.0499877929688,10.536852777644688,996.5024871826172,949.0499877929688,0.0,0
HDFCBANK,2026-01-08,946.7000122070312,10.563008208574024,994.0350128173828,946.7000122070312,0.0,0
HDFCBANK,2026-01-09,939.0,10.649627263045794,985.95,939.0,0.0,0
HDFCBANK,2026-01-12,936.9500122070312,10.672927978777134,983.7975128173829,936.9500122070312,0.0,0
HDFCBANK,2026-01-13,937.3499755859376,10.668373884310391,984.2174743652346,937.3499755859376,0.0,0
HDFCBANK,2026-01-14,925.4500122070312,10.805553912254865,971.7225128173828,925.4500122070312,0.0,0
HDFCBANK,2026-01-15,925.4500122070312,10.805553912254865,971.7225128173828,925.4500122070312,0.0,0
HDFCBANK,2026-01-16,931.0999755859376,10.739985245630619,977.6549743652346,931.0999755859376,0.0,0
HDFCBANK,2026-01-19,927.9000244140624,10.7770231025855,974.2950256347656,927.9000244140624,0.0,0
HDFCBANK,2026-01-20,931.2000122070312,10.738831474345735,977.7600128173829,931.2000122070312,0.0,0
INFY,2025-02-28,1687.699951171875,5.925223848620946,1772.0849487304688,1687.699951171875,0.0,0
INFY,2025-03-04,1688.300048828125,5.923117757972674,1772.7150512695314,1688.300048828125,0.0,0
RELIANCE,2026-01-19,1413.5999755859375,7.07413707746776,1484.2799743652345,1413.5999755859375,0.0,0
RELIANCE,2026-01-20,1394.0,7.173601147776184,1463.7,1394.0,0.0,0
TCS,2025-02-19,3784.10009765625,2.6426362257683613,3973.305102539063,3784.10009765625,0.0,0
TCS,2025-02-20,3779.39990234375,2.6459227015904347,3968.369897460938,3779.39990234375,0.0,0
TCS,2025-02-21,3786.0,2.641310089804543,3975.3,3786.0,0.0,0
TCS,2025-02-24,3675.60009765625,2.7206441762738307,3859.3801025390626,3675.60009765625,0.0,0
TCS,2025-02-25,3629.550048828125,2.7551624486425546,3811.0275512695316,3629.550048828125,0.0,0
TCS,2025-02-27,3612.550048828125,2.7681277393634725,3793.1775512695312,3612.550048828125,0.0,0
TCS,2025-03-05,3547.050048828125,2.819244121831267,3724.4025512695316,3547.050048828125,0.0,0
TCS,2025-07-11,3266.0,3.061849357011635,3429.3,3266.0,0.0,0
TCS,2025-07-14,3222.699951171875,3.102988224629378,3383.834948730469,3222.699951171875,0.0,0
TCS,2025-07-16,3233.10009765625,3.0930066183998552,3394.7551025390626,3233.10009765625,0.0,0
TCS,2025-07-17,3209.199951171875,3.116041428440253,3369.659948730469,3209.199951171875,0.0,0
TCS,2025-07-18,3189.89990234375,3.1348946067720154,3349.3948974609375,3189.89990234375,0.0,0
TCS,2025-07-23,3179.10009765625,3.145544239821945,3338.055102539063,3179.10009765625,0.0,0
